policyId,PolicyDurationMonths,PremiumAmount,CoverageAmount,PreviousClaimsTotal,ClaimFrequencyLastYear
1,44,1687.25,48615.18,6,2
2,57,1463.65,31095.31,5,2
3,34,1962.86,76773.18,3,2
4,20,1736.07,65829.58,7,3
5,48,1719.09,68078.45,3,2
6,13,2885.91,74367.89,6,1
7,26,2445.74,70607.71,2,2
8,44,1436.88,55447.18,6,3
9,24,1555.56,59094.0,1,1
10,28,2393.43,84224.74,7,3
11,16,2392.34,72995.9,2,1
12,16,1516.98,71886.34,3,1
13,29,1812.81,54734.29,2,0
14,58,3477.44,117080.61,3,1
15,41,1530.76,61756.15,2,1
16,45,3528.64,128056.75,2,0
17,29,2882.93,87660.15,3,0
18,8,3380.33,111785.39,2,1
19,27,1496.74,65608.84,3,1
20,58,1865.16,52865.73,6,2
21,7,1640.67,39815.19,2,0
22,29,2901.4,85286.43,3,2
23,49,1545.85,70314.71,0,0
24,35,2584.97,58600.53,4,2
25,43,2542.64,126498.56,6,4
26,7,1961.58,71068.08,2,0
27,26,3038.93,150564.81,3,1
28,38,2086.14,100489.33,3,3
29,17,2667.27,89578.65,6,3
30,27,1604.24,41637.55,1,0
31,49,1421.25,35455.29,4,1
32,30,2584.92,70308.9,8,3
33,54,2344.67,96844.29,5,1
34,32,2194.65,61863.78,6,4
35,47,1725.05,52170.25,2,0
36,33,3239.37,108400.14,7,2
37,21,1106.73,52455.72,0,0
38,20,1062.93,27297.85,3,1
39,52,2753.73,55489.92,6,2
40,56,2688.08,58607.86,6,0
41,49,2283.01,107627.93,4,4
42,60,1769.64,69768.86,4,2
43,57,2401.94,67713.55,3,2
44,8,3376.66,85482.87,1,0
45,42,4012.44,115670.54,5,2
46,56,674.87,15821.57,5,2
47,12,1664.86,80323.0,4,0
48,26,1614.58,70276.57,2,0
49,14,3301.22,111817.9,5,1
50,44,300.0,13784.66,7,3
51,23,2411.07,66265.19,5,1
52,9,1794.55,74498.33,7,4
53,30,3310.49,151236.35,3,0
54,19,3200.83,98275.31,5,2
55,55,2292.41,97940.58,4,3
56,14,736.22,21241.59,4,3
57,31,1540.89,44632.93,5,2
58,58,1628.49,37799.98,6,0
59,7,938.84,31171.0,2,2
60,25,2923.67,122476.4,3,1
61,33,837.26,40361.42,5,3
62,52,3572.26,136152.87,3,3
63,12,3570.26,163853.66,11,4
64,49,1691.95,75587.67,5,2
65,13,2262.8,57023.13,5,1
66,52,1942.17,67149.71,8,2
67,40,2721.46,63975.28,3,1
68,19,3019.74,122192.63,2,1
69,22,2206.4,107003.64,5,3
70,41,2375.29,57274.7,1,1
71,55,1503.52,63172.5,2,1
72,45,2349.37,91548.29,5,4
73,9,2130.21,79900.23,8,3
74,7,1270.56,40281.47,5,3
75,11,1988.77,60963.66,3,1
76,59,1693.45,36167.9,8,4
77,47,1512.4,40135.05,3,2
78,9,1082.81,22149.15,6,2
79,59,2050.0,76757.23,1,1
80,34,1375.62,31880.83,9,4
81,23,1623.11,74972.56,1,1
82,31,2860.1,102089.22,4,4
83,49,2505.69,102710.1,5,3
84,39,1216.99,39339.96,4,2
85,15,2281.51,83999.36,1,1
86,41,2106.22,101688.05,3,1
87,19,3361.36,75570.1,6,1
88,36,3106.52,85796.17,7,5
89,53,773.0,33547.97,6,2
90,20,2688.9,61742.88,1,0
91,13,3012.16,67080.25,4,2
92,19,2447.49,75495.79,6,6
93,28,1731.67,39421.54,1,0
94,45,3930.72,147607.6,4,3
95,26,2521.13,67536.61,0,0
96,21,3581.24,167855.87,1,1
97,50,3081.18,134046.86,4,1
98,23,2371.31,97202.65,2,0
99,52,1536.24,59157.99,4,3
100,58,1980.72,90922.74,6,2
101,29,1822.47,48645.12,4,2
102,31,1028.38,47504.45,5,1
103,30,2520.23,110095.46,3,2
104,50,3253.88,138110.47,6,3
105,46,1761.36,64884.3,2,2
106,34,3730.93,102180.06,2,0
107,20,753.93,24658.49,7,4
108,50,2843.49,124565.14,2,2
109,6,3337.22,69925.87,6,2
110,30,1836.78,79829.06,6,3
111,12,1851.15,50355.34,5,1
112,14,2834.21,68954.33,3,3
113,29,2404.79,56442.99,0,0
114,6,402.07,10000.0,3,0
115,49,1325.3,47323.33,6,2
116,13,1989.16,52807.82,6,5
117,29,904.24,44925.39,5,1
118,16,1620.66,60342.22,5,3
119,56,924.25,22308.25,2,1
120,22,1703.86,69283.99,2,0
121,13,1730.7,81225.83,5,4
122,40,2281.4,96629.73,3,1
123,40,1926.59,42949.9,6,3
124,38,2402.23,112608.28,1,0
125,10,2306.84,101080.63,3,1
126,47,2825.07,69918.04,4,0
127,44,2699.03,58173.67,3,3
128,46,2614.5,96002.62,5,1
